Tidspunkt,Trafikkmengde,Globalstraling,Solskinstid,Lufttemperatur,Vindretning,Vindstyrke,Vindkast
2023-01-01 00:00,0.0,0.0,0.0,0.7166666666666667,42.8,1.2833333333333334,2.7000000000000006
2023-01-01 01:00,0.0,0.0,0.0,0.5833333333333334,54.666666666666664,1.2833333333333334,3.1
2023-01-01 02:00,0.0,0.0,0.0,-0.20000000000000004,38.666666666666664,0.7333333333333334,2.0500000000000003
2023-01-01 03:00,1.0,0.0,0.0,-1.3166666666666667,135.0,0.9500000000000001,2.25
2023-01-01 04:00,2.0,0.0,0.0,0.8333333333333334,64.33333333333333,3.266666666666667,5.5
2023-01-01 05:00,0.0,0.0,0.0,0.7833333333333333,114.66666666666667,2.1666666666666665,4.75
2023-01-01 06:00,2.0,0.0,0.0,0.39999999999999997,76.66666666666667,1.5166666666666666,3.85
2023-01-01 07:00,6.0,0.0,0.0,-1.8666666666666665,141.0,1.55,3.0500000000000003
2023-01-01 08:00,2.0,0.0,0.0,-2.566666666666667,144.0,1.3833333333333335,2.4
2023-01-01 09:00,0.0,13.5,0.0,-3.1166666666666667,137.66666666666666,1.7166666666666668,2.6
2023-01-01 10:00,4.0,84.63333333333334,0.0,-2.5166666666666666,138.33333333333334,1.6833333333333333,2.65
2023-01-01 11:00,0.0,87.39999999999999,0.0,-2.1333333333333333,160.66666666666666,1.1833333333333333,1.9000000000000001
2023-01-01 12:00,2.0,20.849999999999998,0.0,-2.4,151.16666666666666,0.7166666666666667,1.0999999999999999
2023-01-01 13:00,7.0,19.166666666666668,0.0,-2.4166666666666665,148.0,0.7833333333333333,1.2
2023-01-01 14:00,4.0,8.049999999999999,0.0,-2.6833333333333336,149.5,0.06666666666666667,0.5
2023-01-01 15:00,12.0,0.0,0.0,-2.3833333333333333,135.33333333333334,0.7999999999999999,1.3499999999999999
2023-01-01 16:00,12.0,0.0,0.0,-2.433333333333333,140.83333333333334,0.6333333333333333,1.25
2023-01-01 17:00,8.0,0.0,0.0,-2.1666666666666665,141.66666666666666,0.4166666666666667,0.9
2023-01-01 18:00,7.0,0.0,0.0,-1.6666666666666667,230.33333333333334,0.31666666666666665,0.9
2023-01-01 19:00,3.0,0.03333333333333334,0.0,-1.5999999999999999,149.5,0.75,1.25
2023-01-01 20:00,5.0,0.0,0.0,-1.0666666666666667,168.16666666666666,0.35000000000000003,1.05
2023-01-01 21:00,7.0,0.0,0.0,-1.0166666666666666,155.16666666666666,0.62,1.0999999999999999
2023-01-01 22:00,2.0,0.0,0.0,-1.1166666666666667,145.83333333333334,0.2833333333333334,0.85
2023-01-01 23:00,1.0,0.0,0.0,-0.7166666666666667,143.16666666666666,0.75,1.2
2023-01-02 00:00,0.0,0.0,0.0,-1.0166666666666666,176.16666666666666,0.3499999999999999,0.9499999999999998
2023-01-02 01:00,0.0,0.0,0.0,-1.3666666666666665,110.16666666666667,0.13333333333333333,0.45
2023-01-02 02:00,0.0,0.0,0.0,-1.0999999999999999,142.83333333333334,0.35000000000000003,0.9499999999999998
2023-01-02 03:00,0.0,0.033333333333333326,0.0,-0.7333333333333334,188.16666666666666,0.3,0.9
2023-01-02 04:00,1.0,0.0,0.0,-0.5166666666666667,233.16666666666666,0.3666666666666667,1.0
2023-01-02 05:00,2.0,0.0,0.0,-0.21666666666666667,339.5,0.8833333333333333,1.45
2023-01-02 06:00,16.0,0.0,0.0,-0.4666666666666666,279.3333333333333,0.45,1.1500000000000001
2023-01-02 07:00,58.0,0.0,0.0,-0.21666666666666667,332.1666666666667,1.0666666666666667,1.9500000000000002
2023-01-02 08:00,86.0,0.0,0.0,-0.5499999999999999,130.83333333333334,0.5166666666666667,1.3
2023-01-02 09:00,28.0,10.5,0.0,-0.9500000000000001,92.83333333333333,0.2833333333333333,0.75
2023-01-02 10:00,9.0,28.650000000000002,0.0,-0.8166666666666668,256.1666666666667,0.18333333333333335,0.85
2023-01-02 11:00,20.0,45.1,0.0,-0.5833333333333334,128.33333333333334,0.35000000000000003,0.9
2023-01-02 12:00,11.0,32.86666666666667,0.0,-0.43333333333333335,124.33333333333333,0.6666666666666666,1.3
2023-01-02 13:00,15.0,16.73333333333333,0.0,-0.3666666666666667,185.0,0.5666666666666667,1.3
2023-01-02 14:00,26.0,5.983333333333333,0.0,-0.8166666666666668,142.66666666666666,0.6166666666666667,1.2
2023-01-02 15:00,64.0,0.0,0.0,-1.1833333333333333,142.0,0.9,1.45
2023-01-02 16:00,107.0,0.0,0.0,-1.3666666666666665,181.83333333333334,0.19999999999999998,0.7000000000000001
2023-01-02 17:00,37.0,0.0,0.0,-1.5666666666666667,206.33333333333334,0.16666666666666666,0.5
2023-01-02 18:00,16.0,0.0,0.0,-1.8666666666666665,136.33333333333334,0.5,0.9500000000000001
2023-01-02 19:00,5.0,0.0,0.0,-1.883333333333333,130.8,0.45,0.85
2023-01-02 20:00,7.0,0.0,0.0,-2.0500000000000003,141.5,0.45,0.9
2023-01-02 21:00,5.0,0.0,0.0,-2.04,143.0,0.4833333333333334,0.9500000000000001
2023-01-02 22:00,2.0,0.0,0.0,-2.4,187.0,0.9333333333333332,1.7000000000000002
2023-01-02 23:00,0.0,0.0,0.0,-2.4,152.66666666666666,0.4166666666666667,0.85
2023-01-03 00:00,1.0,0.0,0.0,-2.216666666666667,140.16666666666666,0.8166666666666668,1.3
2023-01-03 01:00,0.0,0.0,0.0,-2.2666666666666666,138.5,1.1666666666666667,1.9000000000000001
2023-01-03 02:00,0.0,0.0,0.0,-2.1333333333333333,141.6,0.85,1.3
